ue_cd,대학명,군,모집단위
111011001,서울과학기술대,가,경영학과-경영학
111011002,서울과학기술대,가,경영학과-글로벌테크노경영
111011003,서울과학기술대,가,산업공학과-ITM(인문)
111011004,서울과학기술대,가,문예창작학과
111011005,서울과학기술대,가,영어영문학과
111011023,서울과학기술대,나,건축학부-건축학(인문)
111011024,서울과학기술대,나,산업공학과-산업정보시스템(인문)
111011025,서울과학기술대,나,행정학과
111012003,서울과학기술대,나,지능형반도체공학과
111012004,서울과학기술대,나,미래에너지융합학과
111012005,서울과학기술대,나,인공지능응용학과
111012006,서울과학기술대,가,건설시스템공학과
111012007,서울과학기술대,가,산업공학과-ITM(자연)
111012008,서울과학기술대,가,MSDE학과
111012009,서울과학기술대,가,기계시스템디자인공학과
111012010,서울과학기술대,가,신소재공학과
111012012,서울과학기술대,가,안경광학과
111012013,서울과학기술대,가,안전공학과
111012014,서울과학기술대,가,전기정보공학과
111012015,서울과학기술대,가,정밀화학과
111012016,서울과학기술대,가,컴퓨터공학과
111012017,서울과학기술대,가,환경공학과-환경공학전공
111012018,서울과학기술대,가,환경공학과-환경정책전공(자연)
111012027,서울과학기술대,나,건축학부-건축학(자연)
111012028,서울과학기술대,나,건축학부-건축공학
111012029,서울과학기술대,나,산업공학과-산업정보시스템(자연)
111012030,서울과학기술대,나,기계자동차공학과
111012031,서울과학기술대,나,식품공학과
111012032,서울과학기술대,나,전자IT미디어공학과
111012033,서울과학기술대,나,화공생명공학과
111013013,서울과학기술대,나,스포츠과학과
111013014,서울과학기술대,나,디자인학과-시각디자인
111013016,서울과학기술대,나,디자인학과-산업디자인
111021003,서울대,나,의류학과(인문)
111021004,서울대,나,간호대학(인문)
111021006,서울대,나,언론정보학과
111021007,서울대,나,경영대학
111021008,서울대,나,경제학부
111021009,서울대,나,국어교육과
111021010,서울대,나,농경제사회학부
111021011,서울대,나,사회교육과
111021012,서울대,나,사회복지학과
111021013,서울대,나,사회학과
111021014,서울대,나,소비자아동학부-소비자학
111021015,서울대,나,심리학과
111021016,서울대,나,역사교육과
111021017,서울대,나,영어교육과
111021018,서울대,나,윤리교육과
111021020,서울대,나,인문계열
111021021,서울대,나,정치외교학부
111021022,서울대,나,지리교육과
111021023,서울대,나,지리학과
111021113,서울대,나,소비자아동학부-아동가족학
111022023,서울대,나,약학계열
111022024,서울대,나,간호대학(자연)
111022025,서울대,나,건설환경공학부
111022026,서울대,나,건축학과
111022027,서울대,나,기계공학부
111022028,서울대,나,항공우주공학과
111022029,서울대,나,물리교육과
111022030,서울대,나,물리천문학부-물리학
111022031,서울대,나,물리천문학부-천문학
111022032,서울대,나,바이오시스템소재학부
111022033,서울대,나,산림과학부
111022034,서울대,나,산업공학과
111022035,서울대,나,생명과학부
111022036,서울대,나,생물교육과
111022037,서울대,나,수리과학부
111022038,서울대,나,수의예과
111022039,서울대,나,수학교육과
111022040,서울대,나,식물생산과학부
111022041,서울대,나,식품동물생명공학부
111022042,서울대,나,식품영양학과
111022044,서울대,나,원자핵공학과
111022045,서울대,나,응용생물화학부
111022046,서울대,나,의류학과(자연)
111022047,서울대,나,의예과
111022048,서울대,나,재료공학부
111022049,서울대,나,전기정보공학부
111022050,서울대,나,조경지역시스템공학부
111022051,서울대,나,조선해양공학과
111022052,서울대,나,지구과학교육과
111022053,서울대,나,지구환경과학부
111022054,서울대,나,치의학과(학석사통합과정)
111022055,서울대,나,컴퓨터공학부
111022056,서울대,나,화학교육과
111022057,서울대,나,화학부
111022058,서울대,나,화학생물공학부
111022059,서울대,나,통계학과
111024001,서울대,나,자유전공학부
111031014,서울시립대,나,경제학부
111031015,서울시립대,나,국사학과
111031016,서울시립대,나,국어국문학과
111031017,서울시립대,나,국제관계학과
111031018,서울시립대,나,도시사회학과
111031019,서울시립대,가,도시행정학과
111031020,서울시립대,나,사회복지학과
111031021,서울시립대,나,세무학과
111031022,서울시립대,나,영어영문학과
111031023,서울시립대,나,중국어문화학과
111031024,서울시립대,나,철학과
111031025,서울시립대,나,행정학과
111031044,서울시립대,나,경영학부
111031048,서울시립대,가,자유전공학부
111032024,서울시립대,가,인공지능학과
111032025,서울시립대,나,융합응용화학과
111032026,서울시립대,나,건축학부-건축학
111032027,서울시립대,나,건축학부-건축공학
111032028,서울시립대,나,공간정보공학과
111032029,서울시립대,나,교통공학과
111032030,서울시립대,나,기계정보공학과
111032031,서울시립대,나,도시공학과
111032032,서울시립대,나,물리학과
111032033,서울시립대,나,생명과학과
111032034,서울시립대,나,수학과
111032035,서울시립대,나,신소재공학과
111032036,서울시립대,나,전자전기컴퓨터공학부
111032037,서울시립대,나,조경학과
111032038,서울시립대,나,컴퓨터과학부
111032039,서울시립대,나,토목공학과
111032040,서울시립대,나,통계학과
111032041,서울시립대,나,화학공학과
111032042,서울시립대,나,환경공학부
111032043,서울시립대,나,환경원예학과
111043012,한국체대,가,스포츠청소년지도학과
112011001,KC대,나,신학과
112011004,KC대,다,G2빅데이터경영학과
112011005,KC대,다,사회복지학과
112011006,KC대,다,상담심리학과
112012004,KC대,다,간호학과
112012005,KC대,다,식품영양학과
112021002,가톨릭대,다,경영계열(부천)
112021004,가톨릭대,다,어문계열(부천)
112021005,가톨릭대,나,국제법정경계열(부천)
112021006,가톨릭대,가,사회과학계열(특수교육과제외)(부천)
112021007,가톨릭대,가,신학과(종로)
112021009,가톨릭대,가,인문계열(부천)
112021011,가톨릭대,가,특수교육과(부천)
112021013,가톨릭대,가,간호학과(인문)
112022011,가톨릭대,나,데이터사이언스학과(부천)
112022012,가톨릭대,가,약학과(부천)
112022014,가톨릭대,가,간호학과(자연)
112022015,가톨릭대,가,의예과
112022017,가톨릭대,다,바이오융합공학계열(부천)
112022018,가톨릭대,나,생활과학계열(부천)
112022019,가톨릭대,다,자연과학계열(부천)
112022020,가톨릭대,다,ICT공학계열(부천)
112022022,가톨릭대,가,의생명과학과(부천)
112022023,가톨릭대,가,인공지능학과(부천)
112022024,가톨릭대,가,자유전공학과(자연생활)
112031001,감리교신대,나,신학부
112041007,건국대,가,국제무역학과
112041008,건국대,가,글로벌비즈니스학과
112041009,건국대,가,기술경영학과
112041010,건국대,가,영어교육과
112041011,건국대,가,일어교육과
112041033,건국대,나,경영학과
112041034,건국대,나,경제학과
112041035,건국대,나,교육공학과
112041036,건국대,나,국어국문학과
112041037,건국대,나,문화콘텐츠학과
112041038,건국대,나,부동산학과
112041039,건국대,나,사학과
112041040,건국대,나,영어영문학과
112041041,건국대,나,융합인재학과
112041042,건국대,나,응용통계학과
112041043,건국대,나,의상디자인학과(인문)
112041044,건국대,나,정치외교학과
112041045,건국대,나,중어중문학과
112041046,건국대,나,철학과
112041047,건국대,나,행정학과
112041064,건국대,다,미디어커뮤니케이션학과
112041065,건국대,나,지리학과
112042012,건국대,가,건축학부
112042014,건국대,가,물리학과
112042015,건국대,나,산림조경학과
112042016,건국대,가,생물공학과
112042018,건국대,가,수의예과
112042019,건국대,가,수학교육과
112042020,건국대,나,식량자원과학과
112042021,건국대,나,식품유통공학과
112042024,건국대,나,축산식품생명공학과
112042025,건국대,가,컴퓨터공학부
112042048,건국대,나,동물자원과학과
112042050,건국대,나,산업공학과
112042051,건국대,나,생명과학특성학과
112042052,건국대,나,수학과
112042058,건국대,나,화학과
112042059,건국대,다,줄기세포재생공학과
112042060,건국대,나,환경보건과학과
112042066,건국대,다,미래에너지공학과
112042067,건국대,다,스마트ICT융합공학과
112042068,건국대,다,스마트운행체공학과
112042069,건국대,다,시스템생명공학과
112042070,건국대,다,융합생명공학과
112042071,건국대,다,의생명공학과
112042073,건국대,다,화장품공학과
112042075,건국대,가,전기전자공학부
112042076,건국대,가,화학공학부
112042077,건국대,나,사회환경공학부
112042078,건국대,가,기계항공공학부
112061009,경희대,가,빅데이터응용학과
112061010,경희대,가,Hospitality경영학부
112061011,경희대,가,간호학과(인문)
112061012,경희대,가,경영학과
112061013,경희대,가,경제학과
112061014,경희대,가,관광학부
112061015,경희대,가,국어국문학과
112061016,경희대,가,무역학과
112061017,경희대,가,사학과
112061018,경희대,가,사회학과
112061019,경희대,가,아동가족학과
112061020,경희대,가,미디어학과
112061021,경희대,가,영어영문학과
112061022,경희대,가,의상학과
112061023,경희대,가,자율전공학부
112061024,경희대,가,정치외교학과
112061025,경희대,가,주거환경학과
112061026,경희대,가,지리학과(인문)
112061027,경희대,가,철학과
112061028,경희대,나,한의예과(인문)
112061029,경희대,가,행정학과
112061030,경희대,가,회계세무학과
112061063,경희대,나,건축학과(인문)(용인)
112061064,경희대,나,국제학과(용인)
112061065,경희대,나,글로벌커뮤니케이션학부(용인)
112061066,경희대,나,러시아어학과(용인)
112061067,경희대,나,스페인어학과(용인)
112061068,경희대,나,일본어학과(용인)
112061069,경희대,나,중국어학과(용인)
112061070,경희대,나,프랑스어학과(용인)
112061071,경희대,나,한국어학과(용인)
112061094,경희대,가,응용영어통번역학과
112062029,경희대,나,인공지능학과(용인)
112062030,경희대,가,약학과
112062031,경희대,가,간호학과(자연)
112062032,경희대,가,물리학과
112062033,경희대,가,생물학과
112062034,경희대,가,수학과
112062035,경희대,가,식품영양학과
112062036,경희대,가,약과학과
112062037,경희대,나,의예과
112062038,경희대,가,정보디스플레이학과
112062039,경희대,가,지리학과(자연)
112062040,경희대,나,치의예과
112062041,경희대,가,한약학과
112062042,경희대,나,한의예과(자연)
112062043,경희대,가,화학과
112062072,경희대,나,건축공학과(용인)
112062073,경희대,나,건축학과(용인)
112062074,경희대,나,기계공학과(용인)
112062075,경희대,나,사회기반시스템공학과(용인)
112062076,경희대,나,산업경영공학과(용인)
112062077,경희대,나,생체의공학과(용인)
112062078,경희대,나,소프트웨어융합학과(용인)
112062079,경희대,나,식물환경신소재공학과(용인)
112062080,경희대,나,식품생명공학과(용인)
112062081,경희대,나,우주과학과(용인)
112062082,경희대,나,스마트팜과학과(용인)
112062083,경희대,나,원자력공학과(용인)
112062084,경희대,나,유전생명공학과(용인)
112062085,경희대,나,응용물리학과(용인)
112062086,경희대,나,응용수학과(용인)
112062087,경희대,나,응용화학과(용인)
112062088,경희대,나,전자공학과(용인)
112062089,경희대,나,정보전자신소재공학과(용인)
112062090,경희대,나,컴퓨터공학과(용인)
112062091,경희대,나,한방생명공학과(용인)
112062092,경희대,나,화학공학과(용인)
112062093,경희대,나,환경학및환경공학과(용인)
112063045,경희대,나,골프산업학과(용인)
112063047,경희대,나,디지털콘텐츠학과(용인)
112063049,경희대,나,산업디자인학과(용인)
112063051,경희대,나,스포츠의학과(용인)
112063052,경희대,나,스포츠지도학과(용인)
112063054,경희대,나,연극영화학과-연극뮤지컬연출(용인)
112063055,경희대,나,연극영화학과-영화연출및제작(용인)
112063057,경희대,나,의류디자인학과(용인)
112063059,경희대,나,체육학과(용인)
112063060,경희대,나,태권도학과(용인)
112063061,경희대,나,환경조경디자인학과(용인)
112071003,고려대,가,간호대학(인문)
112071004,고려대,가,경영대학
112071005,고려대,가,경제학과
112071006,고려대,가,교육학과
112071007,고려대,가,국어교육과
112071008,고려대,가,국어국문학과
112071010,고려대,가,노어노문학과
112071011,고려대,가,독어독문학과
112071012,고려대,가,미디어학부
112071013,고려대,가,보건정책관리학부
112071014,고려대,가,불어불문학과
112071015,고려대,가,사학과
112071016,고려대,가,사회학과
112071017,고려대,가,서어서문학과
112071018,고려대,가,식품자원경제학과
112071019,고려대,가,심리학부
112071020,고려대,가,언어학과
112071021,고려대,가,역사교육과
112071022,고려대,가,영어교육과
112071023,고려대,가,영어영문학과
112071024,고려대,가,일어일문학과
112071025,고려대,가,자유전공학부(인문)
112071026,고려대,가,정치외교학과
112071027,고려대,가,중어중문학과
112071028,고려대,가,지리교육과
112071029,고려대,가,철학과
112071030,고려대,가,컴퓨터학과(인문)
112071031,고려대,가,통계학과
112071032,고려대,가,한국사학과
112071033,고려대,가,한문학과
112071034,고려대,가,행정학과
112071035,고려대,가,국제학부
112072034,고려대,가,자유전공학부(자연)
112072035,고려대,가,가정교육과
112072036,고려대,가,간호대학(자연)
112072037,고려대,가,건축사회환경공학부
112072038,고려대,가,건축학과
112072039,고려대,가,기계공학부
112072040,고려대,가,물리학과
112072041,고려대,가,바이오시스템의과학부
112072042,고려대,가,바이오의공학부
112072043,고려대,가,보건환경융합과학부
112072044,고려대,가,사이버국방학과
112072045,고려대,가,산업경영공학부
112072046,고려대,가,생명공학부
112072047,고려대,가,생명과학부
112072048,고려대,가,수학과
112072049,고려대,가,수학교육과
112072050,고려대,가,식품공학과
112072051,고려대,가,신소재공학부
112072052,고려대,가,의과대학
112072053,고려대,가,전기전자공학부
112072054,고려대,가,지구환경과학과
112072055,고려대,가,컴퓨터학과(자연)
112072056,고려대,가,화공생명공학과
112072057,고려대,가,화학과
112072058,고려대,가,환경생태공학부
112072059,고려대,가,스마트보안학부
112072060,고려대,가,반도체공학과
